title,description,price,category,brand,model,image_url
"Instrukcja obsługi Samsung Galaxy S21","Kompletna instrukcja obsługi dla Samsung Galaxy S21. Zawiera wszystkie funkcje i ustawienia telefonu.",29.99,Electronics,Samsung,"Galaxy S21","https://fdn2.gsmarena.com/vv/pics/samsung/samsung-galaxy-s21-5g-1.jpg"
"Manual Ford F-150 2012","Complete repair and user manual for Ford F-150 2012 pickup truck. Includes technical specifications.",49.99,Automotive,Ford,"F-150 2012","https://www.motortrend.com/uploads/sites/5/2011/09/2012-ford-f-150-supercrew-cab-front-three-quarters-view.jpg"
"Instrukcja obsługi Bosch WAW28560PL","Instrukcja do pralki Bosch WAW28560PL. Programy prania, konserwacja, rozwiązywanie problemów.",19.99,"Home Appliances",Bosch,WAW28560PL,"https://media3.bosch-home.com/Images/600x/MCIM02004505_WAW28560PL_def.jpg"
"Sony Bravia XR-55A90J TV Manual","User guide for Sony Bravia XR-55A90J OLED TV. Setup, features, troubleshooting.",34.99,Electronics,Sony,"XR-55A90J","https://www.sony.com/content/dam/sony/en/televisions/images/2021/a90j-series/xr55a90j-front.png"
"DeWalt DCD996 Drill Manual","Operating manual for DeWalt DCD996 cordless drill. Safety instructions and maintenance.",24.99,"Power Tools",DeWalt,DCD996,"https://images.homedepot-static.com/productImages/007164ea-d47e-4f34-8f61-395bf34e39c8/svn/dewalt-cordless-drills-dcd996b-64_1000.jpg"
"Instrukcja Siemens EQ.6 Plus","Instrukcja obsługi ekspresu do kawy Siemens EQ.6 Plus. Przygotowanie napojów, czyszczenie.",39.99,"Home Appliances",Siemens,"EQ.6 Plus","https://media3.siemens-home.bsh-group.com/Images/1200x/MCIM02658088_TE653501DE_def.jpg"
"HP LaserJet Pro M404n Manual","User manual for HP LaserJet Pro M404n printer. Installation, configuration, maintenance.",29.99,"Office Equipment",HP,"LaserJet Pro M404n","https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c06415678.png"
"Instrukcja Electrolux EOB8S31X","Pełna instrukcja obsługi piekarnika Electrolux EOB8S31X. Funkcje, programy, czyszczenie.",24.99,"Home Appliances",Electrolux,EOB8S31X,"https://media3.electrolux.com/is/image/Electrolux/EOB8S31X"
"Canon EOS R5 Camera Manual","Complete guide for Canon EOS R5 mirrorless camera. Settings, shooting modes, menu system.",44.99,Photography,Canon,"EOS R5","https://i1.adis.ws/i/canon/eos-r5_front_rf24-105mmf4lisusm"
"Makita DHP484 Manual","Operating instructions for Makita DHP484 cordless hammer drill. Safety and usage guidelines.",27.99,"Power Tools",Makita,DHP484,"https://cdn.makita.com/Apps/makcom/img/media/products/large/DHP484Z_1.jpg"